articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
8-7-2014_PS,0.22,0.23,mean,4.545454545454549,MINOR_ERROR,NA
8-7-2014_PS,0.55,0.55,mean,0,MATCH,NA
8-7-2014_PS,0.23,0.23,mean,0,MATCH,NA
8-7-2014_PS,0.42,0.42,mean,0,MATCH,NA
8-7-2014_PS,0.33,0.32,mean,3.030303030303033,MINOR_ERROR,NA
8-7-2014_PS,0.22,0.21,sd,4.545454545454549,MINOR_ERROR,NA
8-7-2014_PS,0.18,0.19,mean,5.555555555555561,MINOR_ERROR,NA
8-7-2014_PS,0.19,0.19,sd,0,MATCH,NA
8-7-2014_PS,<1,0.10278252114313095,t,NA,MATCH,TRUE
8-7-2014_PS,<1.3,-1.2598542209882475,t,NA,MATCH,TRUE
8-7-2014_PS,> .21,0.2209233133639876,p,NA,MATCH,TRUE
8-7-2014_PS,<1.3,-0.7310355363903943,t,NA,MATCH,TRUE
8-7-2014_PS,> .21,0.47247226628531835,p,NA,MATCH,TRUE
8-7-2014_PS,> 4.72,7.416137328581375,t,NA,MATCH,TRUE
8-7-2014_PS,≤ .0001,2.0285519133047637e-7,p,NA,MATCH,TRUE
8-7-2014_PS,> 4.72,4.69565746106166,t,NA,MAJOR_ERROR,FALSE
8-7-2014_PS,≤ .0001,1.1035883057795621e-4,p,NA,MATCH,TRUE
8-7-2014_PS,2.95,2.95,t,0,MATCH,NA
8-7-2014_PS,0.007,0.007,p,0,MATCH,NA
8-7-2014_PS,0.65,0.63,d,3.0769230769230793,MINOR_ERROR,NA
8-7-2014_PS,3.49,3.16,t,9.455587392550145,MINOR_ERROR,NA
8-7-2014_PS,0.002,0.005,p,150,MAJOR_ERROR,NA
8-7-2014_PS,0.73,0.65,d,10.958904109589037,MAJOR_ERROR,NA
